,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Communality
C1,-0.37922357147430097,0.225094369551741,0.033944431048800766,-0.21096864151502434,0.28625521547012756,-0.11904500728880002,0.08818737858171305,-0.13347673980729213,-0.12602216882040185,0.012075631482369426,0.1271161501349873,0.08311416319440398,0.1179776794555686,0.41485742093074257
C2,-0.6610069487694773,0.23466172124236975,0.1612147878038011,-0.24275592334286836,0.3466691948426623,-0.14456174232303673,0.11177920266470956,0.18645087871288776,0.08730059050438706,0.23115321259635194,-0.01503218764110781,-0.027048439966644584,-0.004055419908220116,0.827280336176705
C3,-0.5543362592367752,0.026478150216938542,0.23460715255094197,-0.10766262079712247,0.15363883687988736,-0.008460815869942916,-0.01527885360213748,0.052807357663411485,-0.12063584584821677,-0.09645465840866152,0.09105294190462007,-0.03560725209355181,0.010360505459124623,0.4348424378190294
C4,-0.4736769429430081,0.07514098436075518,0.006175902307399034,-0.2962515578935068,0.4108849741366994,0.0484170041005803,0.05244163042851945,-0.05731432973614731,-0.057808186461742066,-0.09562080604942226,0.059807664795200124,0.020926753062800355,-0.016705962720157713,0.5118039663066248
C5,-0.37083175451720585,0.2348650359633129,0.06294805006641782,-0.3972434027536875,0.23871795487015213,-0.09553733430972691,-0.12187393296630551,-0.16637402587364986,0.05305996841516523,-0.2237158020705307,0.12239481358084872,0.08873385650710897,0.046031002570897615,0.5409269307854042
C6,0.26170804648990703,-0.7559411609468432,0.03297336055997004,0.38689069122500136,-0.09545342591310496,-0.08839019165986478,0.13343863070119819,0.26991325140379463,0.11796268348614104,0.10593339315578733,-0.07965538490859111,-0.14059384554299806,0.03605241532875155,0.9508414687026876
C7,0.43417166054188594,-0.7827080279407422,0.1609764434377928,0.24580474893413945,-0.17724892413695698,-0.01571245471997589,-0.08580564347299638,0.09462762810565666,0.08769406076720622,-0.07174454082746627,-0.0516204695923036,-0.05520748966841579,-0.04818355872390783,0.9563230591148989
C8,0.5603603297935386,-0.6838365439070466,0.05350610535253848,0.20453920512437804,-0.20044782072875045,0.07470726768998509,-0.11368621999126863,-0.25062069417867117,-0.12155690553582409,-0.2550860356551684,0.1002312007531154,0.020667547888154357,-0.036612970535325876,1.0394900190003333
C9,0.4120670252368907,-0.6756291065686856,0.015554227187826376,0.22143566187770838,-0.08655699557385138,-0.0875135576562817,-0.0973281323833568,-0.07196722394321475,0.11522610389570706,0.051274158694238466,0.08573792739949983,0.13955663770979596,-0.004367289400914912,0.7481046071058887
C10,0.4223265376518967,-0.6628337736611942,-0.05588877467563806,0.053059045355431475,-0.018338450000651912,-0.11515778459841255,0.032982479055451375,-0.027842883613651944,-0.012587700377994174,0.08351000663286196,-0.050690634176288996,0.039960522904223555,0.09947850733622222,0.6603025461488026
D1,-0.6696677563667985,0.09218642316903479,0.24065713910743566,0.3534853617972129,-0.17493491635438677,-0.2824343825322703,0.12323349911362748,-0.2129660516269466,-0.04051048889850559,0.05900511926530257,0.010866086021981695,-0.030082989882743494,0.026879744001356596,0.8176017225415945
D2,-0.5228722304083752,-0.10384134103007973,0.2085682441007964,0.4254662886239067,-0.08162729853932003,-0.22173989572264688,-0.005046366841869576,-0.10774979860735857,0.01772251891292417,0.10962291314821979,0.019902684581034728,0.09729374445938568,0.0059600582245928875,0.5983967334042138
D3,-0.5155026279603133,-0.1416626316215984,0.16974481917140322,0.20609085085327875,0.09991931083718002,0.059588958457307335,0.10122542461257615,0.16725737388786613,-0.1247228066854472,-0.04273336994553218,0.12690934137127316,-0.0030583918545005364,-0.1455845747530206,0.4635464539374132
D4,-0.44402233859609697,-0.10374586703506233,0.33688519091815233,0.21174518535820366,0.1400395241488256,0.09495520160794436,0.016974742697972233,0.12404165031082567,-0.18392749888567395,-0.024849178493528617,0.07114210589494485,0.041077795847343876,-0.1048451667866387,0.46273662907877877
D5,-0.547129476883877,0.07173558509066995,0.2544989323860847,0.27958644959816553,-0.1504394698499007,-0.25307356441368467,0.10193521501460433,-0.20798081579938876,-0.0548811194939851,0.0723821152786954,-0.02700402958162379,-0.09716909641312997,-0.004139475578089477,0.606199312981092
D6,-0.4607754773977989,-0.15797831797405665,0.28860920748460006,0.10813062323621662,0.06972164171189803,0.023006056153216946,-0.05532944444737148,0.09200520731784848,-0.1093501708961665,-0.07326066731829917,0.025109347135632277,-0.015471099575718607,-0.024523100228208927,0.3679711893180111
D7,0.44519782306969496,-0.45783109349869733,-0.11111111760284068,-0.35827477352593406,0.2876823483228086,0.0010721478611146384,-0.06173661386037602,-0.15950368661052783,-0.026377184770068354,0.20331281156371098,0.06707456575109393,-0.08897838095022494,-0.0957458452719148,0.7241472959674666
D8,0.21725306211622775,-0.2634841280296312,-0.11292314111807668,-0.15381546362044465,0.23979870384580335,-0.2292250767341192,0.06062504578641393,-0.095036796929791,0.020534649467129736,-0.03341197505130753,-0.01653643085183732,-0.007703838174642671,0.1290091407441163,0.29430274745736823
D9,0.2943944162472653,-0.402044722580699,-0.14210507636908049,-0.3573329485748927,0.24209589197563489,0.002529980711067374,-0.050718422708283084,-0.17289585572550273,-0.04459344045110511,0.16621158222897817,0.1399580933193907,-0.09155298701676548,-0.07978663370959492,0.5512218664169221
D10,0.3428001925678501,-0.5933220796027524,-0.11761575530909597,-0.21718624038794815,0.04447258704117758,-0.14063189247162197,-0.07992530611189415,-0.12652956345516878,0.08201672773963482,0.0694879537512281,0.0850565226213889,0.050581106830879366,0.1628722245875541,0.6225750575394198
E1,-0.69189274282266,-0.09560836729666067,-0.4137512748768211,0.2809454130099945,0.14798940183352083,-0.013158571294189781,0.008807194290487385,-0.0009244551061551329,0.16716136638122198,-0.015783557593568514,0.11037493551720141,0.1418565226224949,0.006981775106081634,0.8206760900487603
E2,-0.7124995027338424,-0.1836468600724109,-0.6123739255653613,0.3147243550950723,0.28278277368951527,-0.034061674786000584,-0.2899977478835191,0.05033708806511803,-0.047543768746269095,-0.053158904868048966,-0.036507341627364916,-0.003011835273096392,0.06939608218812451,1.194437718490759
E3,-0.48514458303639735,-0.4240429284076826,-0.13701584873589004,0.038894074796790114,0.123056721610043,0.4575395656612587,0.2670043482393344,-0.12595696113256613,-0.039549504968365554,-0.000627140044543011,-0.1307540433657329,0.008433411863163424,0.05754000399730192,0.7691488033566342
E4,-0.5630477443837233,-0.18289369815561388,-0.6425342358542593,0.30587537644672286,0.24665131122744696,-0.06676340618773716,-0.26242040088649343,-0.08360003053916304,0.004574060265291233,0.06331073976433067,-0.047402412830655154,-0.002468217636693676,-0.03827000863873436,1.0057773572839575
E5,-0.4983324355301412,-0.3560020778623065,-0.030248521292255637,-0.06248695800634616,0.051840475947610064,0.2778071100494301,0.1841631364788236,-0.019534436980487627,-0.026409217450920112,-0.028696646690567342,-0.08148638762635357,-0.021147382603734166,0.04740463081635468,0.5049095555911595
E6,-0.38722658297804435,-0.421825400922291,-0.34928429930694077,0.3718093829815233,0.1983057605386729,0.1812539408618145,0.1639950654116411,0.10890860265128385,0.08749812596675957,0.013005182018136495,0.11067352481562123,0.07933852189695728,-0.046310170681159404,0.7275693842625747
E7,0.13207388882024554,-0.09266862644722822,0.12789005348162527,0.037757647896144865,0.2411874364782061,-0.5565058264551372,-0.1375982717295271,0.23405229066790814,0.021164757411028842,-0.14779342026949044,0.02861611080463636,-0.0710153715366541,-0.03238974140436709,0.5145983679047286
E8,0.3857591822439761,-0.3179003268572445,0.7406733004265016,-0.27073527276944875,-0.025103367870190036,-0.03866070013871644,0.3620867605994201,0.03557908400971393,0.012879646243454881,-0.02366967636427816,0.08069155422079996,0.1189417889264033,0.029092267808217987,1.0284935876100654
E9,0.15936407861915255,-0.2286483997211743,0.06265571797815782,0.051156452388428315,0.19128571406822747,-0.334346180332452,0.030040888943879292,0.13644547544943883,-0.10724759970221624,-0.03466213197140694,0.056557072266454435,0.07480563008347667,-0.006354483989969995,0.27365561257117516
E10,0.09657604678424025,-0.09257694022622848,0.39538245327916094,-0.20110908783007847,0.07042609232579447,-0.27410395218249295,0.08738375826740112,0.04785032587736292,0.012389432434320143,-0.009556529652691298,0.08346774986736173,0.15064972449438774,0.11360770342542632,0.347501698551668
